BlackElo_broad,WhiteElo_broad,Opening_broad,death_position,killed_piece_id,killed_by_piece_id,counts
0-1249,0-1249,Other,a1,W-R-a,B-N-b,1
0-1249,0-1249,Other,a2,W-P-a,B-N-b,1
0-1249,0-1249,Other,a7,B-P-a,W-Q,1
0-1249,0-1249,Other,a7,B-P-a,W-R-a,1
0-1249,0-1249,Other,a8,B-R-a,W-N-b,1
0-1249,0-1249,Other,b4,B-B-f,W-B-c,1
0-1249,0-1249,Other,b4,B-P-b,W-P-g,1
0-1249,0-1249,Other,b7,B-P-b,W-Q,1
0-1249,0-1249,Other,c3,B-B-f,W-B-c,1
0-1249,0-1249,Other,c3,W-P-c,B-B-f,1
0-1249,0-1249,Other,c4,B-P-d,W-P-b,1
0-1249,0-1249,Other,c4,B-Q,W-R-a,1
0-1249,0-1249,Other,c4,W-P-b,B-Q,1
0-1249,0-1249,Other,c4,W-P-c,B-P-d,1
0-1249,0-1249,Other,c4,W-R-a,B-B-c,1
0-1249,0-1249,Other,c5,B-B-f,W-B-c,1
0-1249,0-1249,Other,c7,B-P-c,W-B-c,1
0-1249,0-1249,Other,c7,B-P-c,W-N-b,1
0-1249,0-1249,Other,d1,W-Q,B-N-b,1
0-1249,0-1249,Other,d6,W-P-d,B-K,1
0-1249,0-1249,Other,e2,B-B-c,W-K,1
0-1249,0-1249,Other,e2,W-N-g,B-B-c,1
0-1249,0-1249,Other,e3,B-N-b,W-Q,1
0-1249,0-1249,Other,e3,B-P-d,W-P-d,1
0-1249,0-1249,Other,e3,B-Q,W-K,1
0-1249,0-1249,Other,e3,W-P-d,B-Q,1
0-1249,0-1249,Other,e3,W-P-e,B-P-d,1
0-1249,0-1249,Other,e4,B-P-d,W-N-b,1
0-1249,0-1249,Other,e4,B-P-e,W-B-f,1
0-1249,0-1249,Other,e4,B-Q,W-P-d,1
0-1249,0-1249,Other,e4,W-P-e,B-P-d,1
0-1249,0-1249,Other,e4,W-Q,B-Q,1
0-1249,0-1249,Other,e6,B-B-c,W-N-g,1
0-1249,0-1249,Other,e6,W-B-f,B-N-b,1
0-1249,0-1249,Other,f2,B-P-e,W-K,1
0-1249,0-1249,Other,f2,W-P-f,B-N-b,1
0-1249,0-1249,Other,f2,W-P-f,B-P-e,1
0-1249,0-1249,Other,f3,B-N-b,W-P-g,1
0-1249,0-1249,Other,f3,W-B-f,B-N-b,1
0-1249,0-1249,Other,f4,B-N-b,W-P-g,1
0-1249,0-1249,Other,f4,B-P-e,W-B-c,1
0-1249,0-1249,Other,f4,W-P-f,B-P-e,1
0-1249,0-1249,Other,f6,B-N-g,W-N-b,1
0-1249,0-1249,Other,f6,W-N-b,B-Q,1
0-1249,0-1249,Other,f7,B-P-f,W-N-b,1
0-1249,0-1249,Other,f7,B-P-f,W-R-h,1
0-1249,0-1249,Other,f7,W-N-b,B-K,1
0-1249,0-1249,Other,f8,B-R-h,W-B-c,2
0-1249,0-1249,Other,f8,B-R-h,W-N-g,1
0-1249,0-1249,Other,f8,W-B-c,B-K,1
0-1249,0-1249,Other,f8,W-B-c,B-Q,1
0-1249,0-1249,Other,f8,W-N-g,B-R-a,1
0-1249,0-1249,Other,g3,B-P-f,W-K,1
0-1249,0-1249,Other,g3,W-P-g,B-P-f,1
0-1249,0-1249,Other,g4,B-N-g,W-B-f,1
0-1249,0-1249,Other,g4,B-N-g,W-K,1
0-1249,0-1249,Other,g5,W-B-c,B-B-f,1
0-1249,0-1249,Other,g7,B-P-a,W-K,1
0-1249,0-1249,Other,h1,B-B-c,W-K,1
0-1249,0-1249,Other,h1,W-R-h,B-B-c,1
0-1249,0-1249,Other,h3,W-N-g,B-N-b,1
0-1249,0-1249,Other,h5,B-P-h,W-K,1
0-1249,0-1249,Other,h6,B-P-g,W-P-g,1
0-1249,0-1249,Other,h6,W-P-h,B-P-g,1
0-1249,0-1249,Queen's Pawn Game,c6,B-N-b,W-B-f,1
0-1249,0-1249,Queen's Pawn Game,d4,B-B-f,W-P-e,1
0-1249,0-1249,Queen's Pawn Game,d4,W-P-d,B-B-f,1
0-1249,0-1249,Queen's Pawn Game,d5,B-P-d,W-B-f,1
0-1249,0-1249,Queen's Pawn Game,d7,B-Q,W-B-f,1
0-1249,0-1249,Queen's Pawn Game,d7,W-B-f,B-K,1
0-1249,0-1249,Queen's Pawn Game,f3,W-N-g,B-B-c,1
0-1249,0-1249,Queen's Pawn Game,f6,B-N-g,W-B-c,1
0-1249,0-1249,Queen's Pawn Game,f7,B-P-f,W-Q,1
0-1249,0-1249,Queen's Pawn Game,g2,B-B-c,W-B-f,1
0-1249,0-1249,Queen's Pawn Game,g2,W-P-g,B-B-c,1
0-1249,0-1249,Queen's Pawn Game,g7,B-P-g,W-B-c,1
0-1249,0-1249,Queen's Pawn Game,g7,W-B-c,B-B-f,1
0-1249,1250-1499,French Defense,a1,W-R-a,B-B-f,1
0-1249,1250-1499,French Defense,d3,W-B-f,B-N-b,1
0-1249,1250-1499,French Defense,f4,W-Q,B-N-b,1
0-1249,1250-1499,French Defense,f6,B-P-f,W-P-e,1
0-1249,1250-1499,French Defense,f6,W-P-e,B-P-g,1
0-1249,1250-1499,King's Pawn Game,a1,B-N-b,W-R-h,1
0-1249,1250-1499,King's Pawn Game,a1,W-R-a,B-N-b,1
0-1249,1250-1499,King's Pawn Game,a2,B-R-h,W-N-b,1
0-1249,1250-1499,King's Pawn Game,a2,W-N-b,B-Q,1
0-1249,1250-1499,King's Pawn Game,a2,W-R-a,B-R-h,1
0-1249,1250-1499,King's Pawn Game,a6,B-P-a,W-P-a,1
0-1249,1250-1499,King's Pawn Game,a8,B-R-a,W-N-b,2
0-1249,1250-1499,King's Pawn Game,a8,W-N-b,B-B-c,1
0-1249,1250-1499,King's Pawn Game,a8,W-P-a,B-Q,1
0-1249,1250-1499,King's Pawn Game,b5,B-P-b,W-P-a,1
0-1249,1250-1499,King's Pawn Game,c2,W-P-c,B-N-b,1
0-1249,1250-1499,King's Pawn Game,c2,W-P-c,B-Q,1
0-1249,1250-1499,King's Pawn Game,c3,B-B-f,W-N-b,1
0-1249,1250-1499,King's Pawn Game,c3,W-N-g,B-B-f,1
0-1249,1250-1499,King's Pawn Game,c5,B-P-c,W-P-b,1
0-1249,1250-1499,King's Pawn Game,c5,B-R-h,W-R-a,1
0-1249,1250-1499,King's Pawn Game,c5,W-P-b,B-Q,1
0-1249,1250-1499,King's Pawn Game,c5,W-R-a,B-P-b,1
0-1249,1250-1499,King's Pawn Game,c7,B-P-c,W-N-b,2
0-1249,1250-1499,King's Pawn Game,c8,B-B-c,W-N-b,1
0-1249,1250-1499,King's Pawn Game,c8,W-R-h,B-B-c,1
0-1249,1250-1499,King's Pawn Game,d3,W-R-h,B-Q,1
0-1249,1250-1499,King's Pawn Game,d4,B-P-e,W-N-g,3
0-1249,1250-1499,King's Pawn Game,d4,W-B-c,B-R-h,1
0-1249,1250-1499,King's Pawn Game,d4,W-P-d,B-P-e,3
0-1249,1250-1499,King's Pawn Game,d5,B-N-g,W-P-c,1
0-1249,1250-1499,King's Pawn Game,d5,B-P-d,W-B-f,1
0-1249,1250-1499,King's Pawn Game,d5,B-P-d,W-P-d,1
0-1249,1250-1499,King's Pawn Game,d5,W-P-d,B-Q,1
0-1249,1250-1499,King's Pawn Game,d7,B-Q,W-N-b,1
0-1249,1250-1499,King's Pawn Game,d7,W-N-b,B-K,1
0-1249,1250-1499,King's Pawn Game,d8,B-Q,W-Q,1
0-1249,1250-1499,King's Pawn Game,d8,W-Q,B-K,1
0-1249,1250-1499,King's Pawn Game,e2,W-N-g,B-B-c,1
0-1249,1250-1499,King's Pawn Game,e4,B-B-c,W-B-f,1
0-1249,1250-1499,King's Pawn Game,e4,B-N-b,W-P-d,1
0-1249,1250-1499,King's Pawn Game,e4,W-B-f,B-B-c,1
0-1249,1250-1499,King's Pawn Game,e4,W-P-e,B-B-c,1
0-1249,1250-1499,King's Pawn Game,e4,W-P-e,B-N-b,1
0-1249,1250-1499,King's Pawn Game,e4,W-P-e,B-P-d,1
0-1249,1250-1499,King's Pawn Game,e5,B-P-e,W-P-d,2
0-1249,1250-1499,King's Pawn Game,e5,W-P-d,B-K,1
0-1249,1250-1499,King's Pawn Game,e5,W-P-d,B-P-d,1
0-1249,1250-1499,King's Pawn Game,e7,B-B-f,W-B-c,1
0-1249,1250-1499,King's Pawn Game,e7,B-N-g,W-Q,1
0-1249,1250-1499,King's Pawn Game,e7,W-B-c,B-K,1
0-1249,1250-1499,King's Pawn Game,e7,W-Q,B-N-b,1
0-1249,1250-1499,King's Pawn Game,f3,W-P-f,B-B-c,1
0-1249,1250-1499,King's Pawn Game,f4,B-P-f,W-P-g,1
0-1249,1250-1499,King's Pawn Game,f4,W-P-f,B-R-h,1
0-1249,1250-1499,King's Pawn Game,f4,W-P-g,B-P-g,1
0-1249,1250-1499,King's Pawn Game,f5,B-P-f,W-P-e,1
0-1249,1250-1499,King's Pawn Game,f5,B-P-g,W-N-b,1
0-1249,1250-1499,King's Pawn Game,f5,W-N-b,B-R-h,1
0-1249,1250-1499,King's Pawn Game,f5,W-P-e,B-P-g,1
0-1249,1250-1499,King's Pawn Game,f6,B-N-g,W-B-c,1
0-1249,1250-1499,King's Pawn Game,f6,B-P-f,W-N-g,1
0-1249,1250-1499,King's Pawn Game,f6,B-P-f,W-P-e,1
0-1249,1250-1499,King's Pawn Game,f6,B-P-g,W-Q,1
0-1249,1250-1499,King's Pawn Game,f6,W-B-c,B-P-g,1
0-1249,1250-1499,King's Pawn Game,f6,W-P-e,B-N-g,1
0-1249,1250-1499,King's Pawn Game,f6,W-P-f,B-Q,1
0-1249,1250-1499,King's Pawn Game,f8,B-B-f,W-B-c,1
0-1249,1250-1499,King's Pawn Game,f8,W-B-c,B-R-a,1
0-1249,1250-1499,King's Pawn Game,g4,B-B-c,W-Q,1
0-1249,1250-1499,King's Pawn Game,g4,B-P-g,W-P-h,1
0-1249,1250-1499,King's Pawn Game,g4,B-P-h,W-B-f,1
0-1249,1250-1499,King's Pawn Game,g4,W-B-f,B-B-c,1
0-1249,1250-1499,King's Pawn Game,g4,W-P-g,B-P-e,1
0-1249,1250-1499,King's Pawn Game,g4,W-P-h,B-P-h,1
0-1249,1250-1499,King's Pawn Game,g5,B-Q,W-N-g,1
0-1249,1250-1499,King's Pawn Game,g5,W-N-g,B-K,1
0-1249,1250-1499,King's Pawn Game,g5,W-Q,B-Q,1
0-1249,1250-1499,King's Pawn Game,g8,B-R-a,W-N-g,1
0-1249,1250-1499,King's Pawn Game,g8,W-N-g,B-R-h,1
0-1249,1250-1499,King's Pawn Game,h2,W-P-h,B-K,1
0-1249,1250-1499,King's Pawn Game,h3,B-B-c,W-Q,1
0-1249,1250-1499,King's Pawn Game,h6,B-N-g,W-B-c,1
0-1249,1250-1499,King's Pawn Game,h8,B-R-h,W-Q,1
0-1249,1250-1499,Other,a2,B-P-a,W-N-g,1
0-1249,1250-1499,Other,a2,W-P-a,B-R-h,1
0-1249,1250-1499,Other,a3,B-P-a,W-P-b,1
0-1249,1250-1499,Other,a3,W-P-a,B-Q,1
0-1249,1250-1499,Other,a3,W-P-b,B-R-a,1
0-1249,1250-1499,Other,a8,B-R-a,W-N-b,2
0-1249,1250-1499,Other,a8,W-N-b,B-R-h,1
0-1249,1250-1499,Other,b1,B-R-a,W-R-h,1
0-1249,1250-1499,Other,b2,W-P-b,B-Q,1
0-1249,1250-1499,Other,b2,W-P-b,B-R-h,1
0-1249,1250-1499,Other,b5,B-B-c,W-Q,1
0-1249,1250-1499,Other,b5,B-P-a,W-P-a,1
0-1249,1250-1499,Other,b5,B-P-b,W-P-c,1
0-1249,1250-1499,Other,b5,B-P-c,W-B-f,1
0-1249,1250-1499,Other,b5,B-Q,W-N-b,1
0-1249,1250-1499,Other,b5,W-B-f,B-B-c,1
0-1249,1250-1499,Other,b5,W-P-b,B-P-a,1
0-1249,1250-1499,Other,b5,W-P-b,B-R-h,1
0-1249,1250-1499,Other,b5,W-P-c,B-P-c,1
0-1249,1250-1499,Other,b5,W-Q,B-Q,1
0-1249,1250-1499,Other,b6,B-B-f,W-B-c,1
0-1249,1250-1499,Other,b6,W-B-c,B-P-c,1
0-1249,1250-1499,Other,b7,B-B-c,W-R-h,1
0-1249,1250-1499,Other,b7,B-P-b,W-P-h,1
0-1249,1250-1499,Other,b7,B-R-a,W-N-b,1
0-1249,1250-1499,Other,b7,W-N-b,B-Q,1
0-1249,1250-1499,Other,b7,W-Q,B-B-c,1
0-1249,1250-1499,Other,b7,W-R-h,B-R-a,1
0-1249,1250-1499,Other,c2,B-R-a,W-Q,1
0-1249,1250-1499,Other,c2,W-P-c,B-R-a,1
0-1249,1250-1499,Other,c3,B-Q,W-N-g,1
0-1249,1250-1499,Other,c3,W-N-b,B-Q,1
0-1249,1250-1499,Other,c4,B-P-b,W-P-d,1
0-1249,1250-1499,Other,c4,W-B-f,B-P-b,1
0-1249,1250-1499,Other,c5,B-P-c,W-Q,1
0-1249,1250-1499,Other,c6,B-N-b,W-B-f,2
0-1249,1250-1499,Other,c6,B-N-b,W-N-g,1
0-1249,1250-1499,Other,c6,W-B-f,B-P-b,1
