Site,BlackElo,WhiteElo,Opening,death_position,killed_piece_id,killed_by_piece_id,BlackElo_broad,WhiteElo_broad,Opening_broad
https://lichess.org/j1dkb5dw,1403,1639,French Defense: Normal Variation,h6,B-N-g,W-B-c,1400-1499,1600-1699,French Defense
https://lichess.org/j1dkb5dw,1403,1639,French Defense: Normal Variation,h6,W-B-c,B-P-g,1400-1499,1600-1699,French Defense
https://lichess.org/j1dkb5dw,1403,1639,French Defense: Normal Variation,h5,B-P-g,W-B-f,1400-1499,1600-1699,French Defense
https://lichess.org/j1dkb5dw,1403,1639,French Defense: Normal Variation,h4,W-N-g,B-Q,1400-1499,1600-1699,French Defense
https://lichess.org/j1dkb5dw,1403,1639,French Defense: Normal Variation,f7,B-P-f,W-Q,1400-1499,1600-1699,French Defense
https://lichess.org/a9tcp02g,1919,1654,"Queen's Pawn Game: Colle System, Anti-Colle",g6,B-B-c,W-N-g,1900-1999,1600-1699,Queen's Pawn Game
https://lichess.org/a9tcp02g,1919,1654,"Queen's Pawn Game: Colle System, Anti-Colle",g6,W-N-g,B-P-h,1900-1999,1600-1699,Queen's Pawn Game
https://lichess.org/a9tcp02g,1919,1654,"Queen's Pawn Game: Colle System, Anti-Colle",e4,W-P-e,B-P-d,1900-1999,1600-1699,Queen's Pawn Game
https://lichess.org/a9tcp02g,1919,1654,"Queen's Pawn Game: Colle System, Anti-Colle",e4,B-P-d,W-N-b,1900-1999,1600-1699,Queen's Pawn Game
https://lichess.org/a9tcp02g,1919,1654,"Queen's Pawn Game: Colle System, Anti-Colle",h2,W-P-h,B-R-h,1900-1999,1600-1699,Queen's Pawn Game
https://lichess.org/a9tcp02g,1919,1654,"Queen's Pawn Game: Colle System, Anti-Colle",h1,W-R-h,B-R-h,1900-1999,1600-1699,Queen's Pawn Game
https://lichess.org/a9tcp02g,1919,1654,"Queen's Pawn Game: Colle System, Anti-Colle",h1,B-R-h,W-Q,1900-1999,1600-1699,Queen's Pawn Game
https://lichess.org/a9tcp02g,1919,1654,"Queen's Pawn Game: Colle System, Anti-Colle",d4,W-P-d,B-N-b,1900-1999,1600-1699,Queen's Pawn Game
